Summary,Energy
409,16547
410,16173
411,16027
412,15912
413,16023
414,16091
415,16268
416,16439
417,16536
418,16855
419,17266
420,17451
421,17692
422,17699
423,17711
424,17187
425,17667
426,18553
427,18519
428,18298
429,18238
430,18561
431,17992
432,17121
433,16404
434,16447
435,16114
436,15927
437,16094
438,16578
439,17537
440,19008
441,19477
442,19506
443,19037
444,18991
445,18622
446,19139
447,19092
448,19084
449,19020
450,19623
451,19638
452,19429
453,19003
454,18591
455,18216
456,17275
457,16397
458,16186
459,15873
460,15968
461,16429
462,16648
463,16620
464,17211
465,17823
466,17604
467,18084
468,17835
469,18066
470,18276
471,18143
472,18299
473,18732
474,19339
475,19117
476,18871
477,18237
478,17774
479,17076
480,16171
481,16006
482,15911
483,15519
484,15610
485,15613
486,16096
487,16172
488,16626
489,17000
490,17584
491,18053
492,17917
493,17989
494,18330
495,17627
496,17697
497,18527
498,19418
499,19504
500,19382
501,18943
502,18659
503,17825
504,17050
505,16961
506,17075
507,16760
508,17125
509,16879
510,17102
511,16914
512,16761
513,16999
514,17461
515,17664
516,17844
517,18254
518,18468
519,18741
520,18940
521,19136
522,20205
523,20099
524,20142
525,20060
526,19279
527,18476
528,18252
529,18145
530,17939
531,17604
532,17713
533,17847
534,17865
535,18495
536,20011
537,20083
538,20059
539,20061
540,19702
541,19513
542,19613
543,19443
544,19629
545,20641
546,21900
547,21234
548,21141
549,19962
550,19697
551,18656
552,17849
553,17116
554,17002
555,16517
556,16566
557,16470
558,16970
559,17631
560,18986
561,19166
562,19018
563,18941
564,18942
565,18602
566,18511
567,18740
568,19233
569,19783
570,20959
571,20828
572,20960
573,20565
574,19945
575,18997
576,18579
577,18230
578,17380
579,17719
580,17890
581,18197
582,18308
583,18723
584,20367
585,20355
586,20452
587,20500
588,20169
589,20322
590,20179
591,19808
592,20497
593,21082
594,21704
595,21852
596,21479
597,20862
598,19798
599,19015
600,18471
601,18037
602,18160
603,18075
604,18263
605,18726
606,18557
607,19231
608,20277
609,20662
610,20366
611,20506
612,20113
613,20194
614,20802
615,21258
616,21295
617,21576
618,21796
619,21715
620,21716
621,21323
622,20399
623,19314
624,18507
625,18226
626,17716
627,17454
628,17284
629,17294
630,17896
631,18667
632,19826
633,20220
634,20276
635,20216
636,20266
637,19909
638,19822
639,19363
640,19239
641,19701
642,19471
643,18785
644,18667
645,18441
646,18234
647,17621
648,16514
649,16328
650,16377
651,16709
652,16945
653,16797
654,16934
655,17282
656,17593
657,18287
658,18957
659,19253
660,19260
661,19186
662,19037
663,18891
664,18937
665,18760
666,19456
667,19515
668,19052
669,18728
670,18164
671,17576
672,17250
673,16915
674,17186
675,17481
676,17138
677,17278
678,17639
679,17966
680,18575
681,18470
682,18462
683,18847
684,18262
685,17765
686,18155
687,18196
688,17922
689,18216
690,18893
691,18968
692,18349
693,18231
694,17849
695,16868
696,16322
697,16194
698,16123
699,16271
700,16010
701,15939
702,15961
703,17174
704,18693
705,19524
706,19632
707,19640
708,19448
709,19201
710,19695
711,19983
712,20184
713,20213
714,20062
715,19406
716,19547
717,19384
718,19044
719,17232
720,15962
721,14995
722,14818
723,14894
724,14944
725,15379
726,16288
727,17846
728,19199
729,19338
730,19170
731,19275
732,19293
733,18726
734,19439
735,19753
736,19654
737,20414
738,20782
739,20618
740,20000
741,19621
742,19038
743,18614
744,17629
745,16421
746,16505
747,16376
748,16190
749,16241
750,16801
751,17296
752,18405
753,18101
754,18150
755,18620
756,18753
757,18717
758,18574
759,18102
760,18372
761,18479
762,19375
763,19377
764,18905
765,18533
766,17677
767,16756
768,16244
769,15928
770,16163
771,16678
772,17163
773,17615
774,17466
775,18185
776,19693
777,20292
778,19781
779,19823
780,19758
781,19852
782,19733
783,19720
784,19975
785,20542
786,21353
787,21580
788,21375
789,21041
790,19980
791,19250
792,18312
793,18037
794,17737
795,17649
796,17464
797,16944
798,17422
799,18079
800,19818
801,19808
802,19028
803,19099
804,19427
805,19533
806,19375
807,19663
808,19884
809,19908
810,20969
811,20626
812,20326
813,19711
814,19504
815,18206
816,17523
